"Show","Date","Review","Rating"
"Constantine",2017-07-21," For me personally, in my opinion Constantine is the best TV series , the pilot was cohesive, concentrated and left me curious for more , Being a fan of the character for a long time, I have greater hopes for the show knowing the Newcatle Crew and Astra are there and Zed will become part of the show I'm very eager to see what's going to happen through the rest of the series and I know we'll get there, ","10"
"Constantine",2017-07-07," Loved this series. Cannot believe it's not been picked up for more seasons. Great characters, great pace. Matt Ryan's portrayal is spot on. Stumbled on this due to his appearance in Arrow and it's a gem. With more seasons I'm sure it will only get even better as the plot themes and characters develop. Come on networks!! ","10"
"Constantine",2017-06-17," For me this show is best ever from DC! Matt Ryan is amazing actor, his voice in this show is perfect for this character. His style and sarcasm is bloody amazing! Every actor in this show did AMAZING job. I watched this show 5 times and never get's boring. This show have so much details and wonderful story. 1 episode is best. I can easily say probably best show ever for me. If you love Demon stuff this show is for you! Cheers ","10"
"Constantine",2017-04-30," 'Constantine' brilliantly combines spell casting, occult, and humour. John Constantine is one of the most flawed & damaged characters ever. He has a painful and depressing past, and walks the Earth knowing he's going straight to hell when he dies. Yet, he still finds the courage to battle evil, crack a joke, and support the side that rejected him. Through all of the emotional turmoil he must go through, he still manages to live his life as an exorcist, a gruesome, terrifying, and extremely high pressure line of work. John's daily experiences would drive an average person insane with haunting memories. John has no superpowers, he just is an expert at dark rituals, and wages war against demons. The show balances John's humour, pain, and also has quite a few very frightening scenes that accurately capture what life as an exorcist might be like. John Constantine, despite his past, is the kind of man who is brave enough to scam the Devil, blackmail God, and still make you laugh. He could walk to hell and back unshaken. He's been face to face with demons, and he's been face to face with angels. This show ranges from dark voodoo rituals, to white robed angels with long flowing red hair and beautiful white feathered wings. Overall, the show is very intense, often scary, sometimes uplifting, and will have you on the edge of your seat. I would really love it if a channel picked this show up again, Constantine deserves a season 2. If you ask me it deserves more seasons than any other DC television series.9.4/10 ","9"
"Constantine",2017-03-21," I miss Constantine because of it's originality - Constantine is the ORIGINAL grim demon hunter ! Supernatural is good too in it's own kind of way - basically to see if Sam and Dean will get to live to see the next episode. I hope after Supernatural's 13th season (when it was promised to end) Constantine comes back ! Otherwise there will be a big hole in the level of demon hunters... ","10"
"Constantine",2017-02-20," I love this series. The only thing that was missing was more background of characters, spells/magic, etc. I feel a lot of explanation was missing... were the writers  hurried?  Or, perhaps much was lost in editing. At any rate, the shows concept and actors were absolutely fantastic, especially Matt Ryan! I hope the series is picked up by another network and given more attention & I don't mean an animated version... I would love to see this same series, with the exact same actors. Perhaps new writers and/or editors, budget increase, director, etc, would make the show exactly what it should be? I don't know the answer but, this series concept & it's actors are far to good to just let it fade away or turn it into an animated show. ","10"
"Constantine",2017-02-08," It saddens me a show as cool as this has hiccups getting released to season 2 and beyond. At first you get a punch in the face by this jerked off British guy with his hair colored blonde being Constantine, and after being a really big fan of Keanu's Constantine (well..Lawrence's actually) i was seriously like what in the f is this sh*t...but i kept on and i fell in love with it...Matt Ryan played an amazing role.If you guys love the god/heaven/hell/Satan/magic/exorcism/witchcraft theme don't pass out on this one. Its a gem. Unfortunately i guess it didn't hook a wider audience so its future might be questionable. shame ","10"
"Constantine",2017-01-13," A man struggling with his faith is haunted by the sins of his past but is suddenly thrust into the role of defending humanity from the gathering forces of darkness. Just finished watching Constantine and although it wasn't perfect i still enjoyed it a lot and the way it ends totally promised us a Season 2 but unfortunately that never happened although we are getting an animated version of the show. Now let me start with the stuff i did liked which is Matt Ryan as John Constantine which i think he did a really good job, also Angélica Celaya and Charles Halford were very good too. As for the villains i think that Michael James Shaw as Papa Midnite showed up in very weird places and episodes which kinda ruined the moment for me and don't get me wrong the man did a good job and then we have Harold Perrineau (Sabotage, The Edge) as Manny who spends 11 out of the 13 episodes of the entire season doing absolutely nothing except talking but he did have 2 really cool scenes but that season finale i don't know i just did not like the twist that much. As for my favorite episodes i think episode 6 was the best because it reminded me a lot of The Omen, Episodes 7,8 and 9 were also very great as for the rest of the episodes they were good but with both their ups and downs. Now let me start with the flaws like i said Manny does absolutely nothing for like the whole season except 2 major scenes where he saves the team but also a very funny sequence in the Hospital and the big twist in the end was pretty shocking to say the least, some of the cgi were pretty bad at times especially in Episode 1, certain demons in a couple of episodes were laughable especially the one who possessed other people and made them eat to death, there was also a scene where Constantine leaves his jacket in a house and he leaves without actually taking it at all and after he leaves his room in the hotel he wears it again with no reason and i know it's just science fiction but common really? The first 5 episodes were also kinda slow but after that it does pick up really good. I was also surprised by how much blood there's in this show i mean it's pretty hardcore at times and it totally has a very different feeling than Arrow, Supergirl, Flash, Legends of Tomorrow and even Vixen and i enjoyed that but i have to point out that at times there's some stupid jump scares that really bugged me. But overall  Constantine  is a great show that for sure it's not perfect but it totally deserved a Season 2 and i'm gonna give it an 9/10. ","9"
"Constantine",2016-12-27," What is going on with retreading all-to-similar story lines?  Wentworth  for  Orange is the New Black  and now this. Well, not that uncommon of a money making practice I guess. Sure is a non-creative, and cheap way to make some money. 1. Lucifer is back and still looks the same. You would think that Satan and pals with all their powers would have better things to do than perform cheap childish tricks on humanity. 2. The prop fake wings were so cheap they didn't bother to do the CGI of flying (or supposed flying) instead our archangel just does scene cut-and-paste appearances. 3. Unimaginative & tiresomely cheap (and fortunately quickly over ) levitating of whatever; usual time stop effects of things suspended; window glass shattering when evil does it's tricks; the old flying books off shelves. 4. Contact lenses everywhere as a cheap sign of other worldliness or just bad asses in a bad mood. 5. Parallel dimensions mentioned for some unknown reason - at least they didn't try to show some. 6. Suddenly appearing gaping holes in the ground (also cheap CGI) to gobble things up - how original. Yawn! 7. Demon growls for sound effects to create evil-is-coming mood. How do we know demons growl? Do they have vocal cords? 8. Lots of 19th century artifacts to indicate we've been fighting evil, well since the 19th century, but not for millions of years prior. Lots of drawing pointy things on floors and walls.Of course, chanting weird phases, and tossing special water on things. Satan et al. you're not so tough after all.9. Predictable writing hooks of disheveled, slightly dysfunctional male lead with stable (and attractive) female showing up to keep things in balance (and a little implied sex). 10. Bland, basically TV show experienced, acting. ","2"
"Constantine",2016-09-23," Another week, another comic book TV series. CONSTANTINE was a 13-episode series that was ignobly cancelled after just one series and it's based on the Hellblazer comic, just as the Keanu Reeves big screen adaptation of the same character was. This is distinctive and stylish enough to stand on its own right, although truth be told it's simply another monster-of-the-week show.I wasn't too taken with Matt Ryan's acting as the lead character. I found him arrogant, unfunny, and self-centred, and his British accent particularly annoying which is weird when I'm British myself. Still, the show has much in common with other successes like ARROW, so it's weird that it was cancelled. It's very fast paced and there's plentiful action in each of the episodes. It does feel very clichéd throughout without bringing anything really new to the screen but at the same time it keeps your attention so it's never dull.CONSTANTINE makes frequent use of a CGI effects budget to bring some impressive creations to the small screen. It's refreshingly gruesome in places and the various demons are well realised and well designed, coming across as genuinely scary on occasion. Some of the guest actors give performances that can best be described as hokey but overall the series makes for light and engaging viewing. ","6"
