"Show","Date","Review","Rating"
"Legends of Tomorrow",2017-10-27," I personally love this series, it is wonderful to find out more about other super heroes for a change. If you love sci-fi, great characters, and lots of action and laughs - this is the series for you. If you watch the likes of Killjoys, this will be right up your alley! The way they have personalized each character throughout the series keeps me very entertained, and i am completely hooked! ","10"
"Legends of Tomorrow",2017-10-26," I had a 7 for this show before viewing S03E03, and now I give it a mandatory lowest score 1.It's been on the decline for me towards the end of S02, but season 3 has made social justice issues the driving force in the show. Every episode has an issue, no focus on their powers anymore.Mick's quote in S03E03,  ...because I can smell pigs! , referring to police nearby, was the end of this show for me. Disgusting, and completely irrelevant to the content of this episode, just an inappropriate SJW jab.As with The Flash, these two DC series have failed in an identical manner - soap operas for snowflakes. Gotham...(which keeps getting better, and I've rated an 8)...when these two shows get cancelled, don't let their unemployed writers anywhere your studios! ","1"
"Legends of Tomorrow",2017-10-25," It is provoking to see how various DC shows are cleverly interweaved. However, trying to do a spin-off from so many of them was something I was originally skeptical about. Perhaps the first season did not give sufficient sense of direction, but the second one totally redeemed the show. I had a tense moment at the season two finale, which looked very much like a cut off point. Luckily, the decision to continue the series is highly praised, it is in my views the funniest DC show ever. I really enjoy each episode with very good laughs. The viewers criticising it for the quality of the plot might not realise that it is presumably the perfect parody that this genre was so desperately missing. ","10"
"Legends of Tomorrow",2017-10-24," This shows only reason for being is to be able to tap into the DC comics Library and have little snipets of there characters. Time line stories get boring unless there is a beginning, middle and end. But this jumping around time to fix corrupted time lines is ridiculous already. Are there Not enough writers for the CW shows? I have an idea! cancel Supernatural already and have those writers work on the superhero shows. A few question what happened to the hawks? ( not that I really care they sucked) and Why a black lightning show? P.S. Green arrow is not BATMAN Greg Berlanti! ","3"
"Legends of Tomorrow",2017-10-24," This review is for the directors.I am actually a kind of  comic Hero  addict. I always find time to watch all superhero movie as well as the TV series. But for now, when talking about  the legends of tomorrow , I am not that impressed.In this series, the legends were already there in the other two series (flash and arrow). When their acting is compared I would like to say the characters Mick, captain cold and the professor, their acting is brilliant, that doesn't mean others are bad. I support some of reviews stating about over acting. I too feel the same.I just watched season 3 episode 2. To be frank, the story was good, but the visualization is horrible. Points below,(the listed points are not the climax.) 1. Julies Caesar is brought back to Ancient Rome, and the Rome looks like a forest and are living in some tents which are used by the British and many others in the previous seasons.Could have used some graphics to look better. Another thing is, Rome's mighty Caesar is protected by some countable number of soldiers. GOT fans might not be able to swallow this kind of legendary appearances. 2. Every time the locations are almost same. It is weird to watch the legends whenever they step out of the ship they are always surrounded by some greenery. To be precise from S03E02 the circus field shown does not ring any bells. The place shown is ridiculous. Some nasty cloths will not change the forest into some circus field. Logical part is, every circus will be conducted in some populated area, and here outside those cloths, is greenery and trees.That's all for now. Thank you.... ","5"
"Legends of Tomorrow",2017-10-23," I've been watching The Flash, which I enjoy, and noticed that there was a crossover episode -- titled  Invasion  -- featuring Legends of Tomorrow. I decided to begin watching it. Was I disappointed. Here is my reason for the show being awful and completely abandoning it.The first two episodes was a two-part pilot. It introduces how Rip hunter assembles the Legends. He explains to them about stopping an immortal by the name of Vandal Savage. Also that Rip Hunter's family was killed by Vandal Savage and that he will be the one that kills him. Remember this key piece of information. Vandal Savage is the big bad and Rip wants to kill him. Also , there's a scene where the Legends engage Chronos, the time bounty hunter chasing Rip, and Rip is firing his laser pistol at him. Another key piece of information.During episode 3, everything falls apart for me. The episode opens with Rip Hunter in ancient Egypt with a knife, about to engage Vandal Savage, whom has a staff. Half way through the episode Rip Hunter admits that he had gone back to ancient Egypt, before assembling the Legends, and before the meteor hits which turns Vandal Savage into an immortal. There is a flashback to that scene with Rip Hunter engaging Vandal Savage with a knife. But why? Where's his laser pistol? He could have easily shot Vandal several times in the back, made sure he was dead, and sneak back to a changed future. Nope, he doesn't do that. Anyway, somehow Rip overpowers Vandal, and has his knife at Vandal's throat, but he hesitates. Again, why? Rip knows very well that Vandal murders his family in the future. Rip also knows very well the destruction that Vandal brings onto the world throughout history. Yet Rip hesitates killing him. Of course Vandal's guards arrive and Rip loses his chance at revenge.At this point the entire show breached absurdity for me and went well beyond stupidity, all within the first three episodes. Awful show. ","1"
"Legends of Tomorrow",2017-10-19," This show is even better than the flash right now........Just because of its awful start please don't underestimate this....Season 2 just blew me up and currently it is my favorite DCTV show.. Like arrow season 2 and the flash season 1 it is giving me the chills....It just keeps getting better unlike other DC shows like the flash(don't get me wrong I love the flash but season 3 was not at all for me)or that joke of a superhero show Supergirl.You need to give this show a try....Please just ignore season 1 and focus on the present..I promise you that it will greatly exceed your expectations.This is some really good TV. ","10"
"Legends of Tomorrow",2017-08-28," Negatives: 1. LImited, off the shelf, CGI effects. Nothing creative or mind capturing. Nothing creative in storytelling; same old bad guys. 2. No name actors (low production cost) in roles that don't require acting, but do require that you can say seven monosyllabic words or fewer in succession while giving the appropriate not believable facial response indicating some emotion. 3. Action consists of lots of hand to hand combat so poorly performed even camera angles couldn't rescue the fake punches. Also added were the usual fighting sticks and toy store laser guns. 4. Really bad science (audience probably doesn't care or know better) dealing with time travel as if it were like walking out the door. Even more stupid (er) were things called Time Quakes, Temporal Aberrations, Time Scattering, and Time Drive. The premise is  if I can say it, it must be true.  Wrong! Sorry, time travel, quakes, aberrations, etc. - not possible, all child's fantasy. Positive: 1. You get a bit of history; distorted as each event is. ","2"
"Legends of Tomorrow",2017-08-17," I've never been a big fan of DC, so maybe I have a bias. I can admit that. I like the actors, so I thought there would be some entertainment. Boy was I wrong. It's already a difficult task to write effectively about time travel, but this show just fails at storytelling. It can't make up its mind within the same episode whether it should follow its own rules. If your primary rule as a protector of time is reset the enemy changes, but don't change anything else to prevent paradoxes, then why do they willy-nilly change anything they want EVERY EPISODE with no repercussions? WHY, for the love of god was it necessary to bring Eobard Thawne back?! And the whole premise that they inspired George Lucas and J.R.R. Tolkien... Just no.  So, Lone Starr, now you see that evil will always triumph, because good is dumb.  <U+0097> Dark Helmet, Spaceballs ","1"
"Legends of Tomorrow",2017-08-17," I think the common misconception when being introduced to another CW/arrow universe show (as I was guilty of the same) is that the story will be fleshed out early on since we already know most of these characters. The first couple episodes are unfortunately evoking of this theme as well. But, given time to summon its own, standalone storyline, Legends eventually rivals and even surpasses the other C-dub shows. Without giving spoilers, I can honestly say the time travel gets much better, even more so than the beloved Dr. Who, as we all know how BBC uses ten year-old technology in order to save a dime here and there. The places they travel to are made to come alive with elaborate sets and great wardrobe attire. The characters become more memorable and we even begin to care about several of them once it is expressed that killing someone off is not out of bounds. The show is lighthearted at times, and there hasn't been many cheesy romance arcs akin to Arrow, which is saturated in them. Some of the characters are quite hilarious; while the comical genius of the writers is not anything extraordinary, the acting ability of the great Victor Garber combined with our all-time favorite con men Wentworth Miller and Dominic Purcell left my side splitting on many occasions. To reiterate the theme of this review, the show takes some time to grow on you. The leading man turn of Arthur Darvill (who, by the way, is one of several crossover actors from the Doctor universe, ironically) is not as spectacular as the show needed it to be, but this is of no fault of himself- he simply doesn't have the space captain gravitas of a Patrick Stewart. Like the show, however, he does grow on you and I found myself considering him one of my most beloved characters before season one concluded. Here's hoping season 3 continues to up the ante in terms of Legends finding its groove and continuing to improve. ","9"
"Legends of Tomorrow",2017-08-07," what can I say...the show was average...but just been announced that the produces is introducing a non existent character inn the show that pushes a political agenda...and the guy doesn't hide it...he thinks our president is Mao or Maduro and half US population is like the Red Army or something...nope I'll pass...there where to many Comic book series right now...and good ones....so I'll pass this season. ","2"
"Legends of Tomorrow",2017-07-30," I first gave this show a try because it looked really interesting when I saw the first trailer.But after watching the first episode and so on,it started to feel like the writers are huge doctor who fans and justice league fans and wanted to combine the both to make the legends of tomorrow.The show has a lot of thing that resemble a lot from doctor who like the time masters are like time lords,Vandal Savage seems like the master who is the arch-enemy of the doctor,the ship the legends are on resembles the tardis if the tardis was an actual ship,Rip Hunter seems like a rip-off of the doctor and fun fact, the guy who plays as Rip Hunter actually played as an companion who's name also begins with an r.And most of the characters I used to like from other shows(White Canary,The Atom,Jax/Firestorm,Captain Cold,Heat Wave,and Green Arrow) really annoy me now.So thanks for ruining a bunch of great characters on one show The CW.This is why you(The CW) can only have a soap-opera feeling and it can influence your superhero shows also. ","1"
"Legends of Tomorrow",2017-07-27," A wannabe cross between superheroes and Dr Who. What's wrong? To start off, you have the Atom which is one of the most powerful heroes in the DC universe and he's rarely in his super suit. The team gets into trouble constantly and there the Atom is without his suit. Mainly the characters act stupidly in stupid situations. It is the typical we've got to save the earth situation but somehow it's become a love / human interest story were the mission is the highest priority but somehow that priority is constantly compromised.I will make it to near the end of the first season. At the beginning of the series the time line seems to be important. Now it is out the window. No more checking. Characters that were to be killed are stupidly not killed for contrived reasons. The writers must of just totally given up.Don't waste your time. I'm stuck watching it with my wife to catch glimpses of the former Superman actor. ","2"
"Legends of Tomorrow",2017-07-20," Lazy writing. The only reason I gave this a shot was because of a cross series link - 'Invasion' - part of which was The Flash, Arrow, and then this. Became aware of this in advance and thought I would need to see Legends of Tomorrow for it to make any sense. No - I didn't.'Invasion' didn't need me to have any additional 'Legends' backstory.Then I just thought I may as well finish it - and went on to let it waste more of my time.There are some elements that are worth mentioning, in a positive light - I liked Season 1's enemy, I also liked the lead enemy in Season 2.There are also some better 'Legend' characters in Season 2, swapping out two very tiresome elements from Season 1, being careful about spoilers, but if you've watched it you might know who I'm referring to. Otherwise it's little more than a pile of stinking garbage.The series' play on time travel is so poorly executed, and ill thought out, that I think, in addition to some shoddy dialogue and characters, is the main reason this show has, in my estimation, fallen flat on it's stupid face. ","2"
"Legends of Tomorrow",2017-07-08," Season 1 of Legends of Tomorrow was very average to below average at times, If I had to give it a number it would be about a 6, Savage just didn't do it for me as a villain. Season 2 is much better in every way. I recommend anyone who gave up on it after season 1 to give it one more chance with season 2. ","8"
