"Show","Date","Review","Rating"
"Lucifer",2017-10-02," Not bad for a Soap Opera title, right? But it happens to be 100% true. Unlike my other  family in Christ,  I can watch a funny send up of the entire religion thing because BEING a full-on believer in Jesus Christ is the religion NOT the churches so-called Christians who seem to easily mix weird words from man and often worship whoever their priest or pastor is instead of believing you can read the Bible with friends and/or family and get the message. Not just GET the message, but also watch fun, entertaining Hollywood nonsense and not stray from the pack!On behalf of the many more sold out Christians, I apologize for those who are brain-washed or generally wobbly about their faith. He gave us FREE WILL. He knows our heart. And He trusts us as we trust Him. Period. It's JUST ENTERTAINMENT (and excellent entertainment at that!). Now to the show. Yes, Tom Ellis and Lauren German are beautiful and I loved every minute of seasons 1 and 2. Bringing in Tom Welling was the networks' most brilliant move so far this season. While other shows are bleeding characters (Hawaii five-0 comes to mind and others), Lucifer is pushing the ante up by throwing my hero for many, many years, Tom Welling, into the mix and who can argue with Superman? The show revolves around Lucifer, DB Woodside his hunky brother, Amenadiel, and Lauren German as the beautiful cop who starts out trying to catch Lucifer as a criminal but let's say a romance evolves, and Lucifer/Amenadiel's mother, played by Tricia Helfer, who I'm not sure is in this season, and Rachel Harris, total comedy relief is Lucifer's therapist.That's pretty much the show - now why I watch it. Simply put: it's pure entertainment. Not heavy, a lot of humor, great ensemble cast, and a far fetched story meant NOT to hurt or help NOT to damage one's own belief. If your faith is that sketchy that what is basically a fantasy show, then I'm afraid you'd better never let your kids watch ANY Disney movie! I live my life out of joy in my faith, not looking over everybody else's shoulder telling them what they should and should not do. And if you all think I'm kidding about being a full on Christian, I will give you my Christian search and final acceptance story including a prophesy gift God gave me during my last operation. NOTHING WILL EVER SHAKE MY FAITH IN GOD AND Jesus Christ. But I am ashamed of many brothers and sisters still in their baby seat, sucking their thumbs, afraid of liberals, afraid of a bad word, afraid of Lucifer! Because I love this show as does my SAVED husband - who actually watched it first 2 years ago and said,  Kathy, you are going to LOVE this show,  to which I responded  HEATHEN! Get thee behind me Satan,  and then here I am, 2 years later writing this. It's one of those  Didn't see THAT coming,  things. I love this show people! Come love it with me! You won't lose your salvation over it! And non-believers, you have no excuse! Also, if you (ABC) Change this winning formula to a darker side of everything: BIG MISTAKE! Don't fix what isn't broken!! ","9"
"Lucifer",2017-09-29," I rarely write reviews but I wanted to add some clarification because fans of the comic are too harsh for this TV series. First this is like 1000 times better than the comic. Yes the comic evolves around a deep , complex , rich story. There is two problems with its story a) its far from original (see Spawn) b) the characters are plain boring. Its very difficult in the comic to differentiate one character from the other , they are miserable and they are also miserable... oh did I say they are also miserable. On the other side we have this TV series. In comparison with the comic is pretty much the polar opposite. The story is extremely simple yet very original , the very few characters that is has very well written , interesting and multi dimensional that do not go down the misery stereotypical writing that anything relate to the devil goes usually. Let's get one thing straight the comic is a drama this is a comedy. No its not a cop show. Yeah sure the theme is cop related but in the end, if you take out Lucifer and Chloe this becomes the most boring cop show you ever watched. The murders investigated are far, far ,far from interesting and they don't play any more than a decoration role for the series. The series has more in common with Californication than it has with CSI , Law and Order etc. It should not surprise its made by the same writer. Essentially this polarises on the relation of Lucifer and Chloe, with every character just being there to push the story further. It also does not glorify Satan by any means. The comic does far better job at that actually. Lucifer is NOT himself. This is something that is made clear from episode 1. First because he decides he is fed up with the role of Satan and wants to explore something else. Second and this is the most important is that he finds, again from very early on, that he is physically vulnerable when he is around Chloe. What is implied is also that he emotionally vulnerable when he is around her as well and the more exposed he becomes to her the more vulnerable he becomes. The final blow on the whole  glorifies Satan  comes when we find in Season 2 why Chloe is so special and why the whole story is far from accidental and has little to do with  the power of love  as you would expect in a typical romantic series. In the end this is too binary to be compared to the comic or a typical cop show and too out of character to be blamed for Satan glorification. For the same reasons it cannot even remotely compare to Supernatural which by the way has a lot more common with the comic than this has. Instead this is a remake of the Californication story and its great remake even though much more simple. Mainly because of the extreme amount of layers that the characters have. But mostly because of the chemistry between Chloe and Lucifer. The show like Californication has much more to do with the human condition that is has to do with religion and mythology. Its semi serious look into the human condition from the perspective of very interesting characters with their own flaws and weakness. ","9"
"Lucifer",2017-09-22," What I really love about this show are the one liners that Tom Ellis gets that really make me laugh out loud.What I don't like is the obligatory drop dead gorgeous female detective who just stepped off the catwalk. Seriously she is so pure Lucifer is unable to manipulate her like he does every other human, He can also get shot when he's near her, well not in the pilot when he takes half dozen without any ill effects but by the 4th episode he's no longer immortal, that is simply stupid. OK so they want to keep up the fact that he is the devil from her but for how long? So why do American producers always put these dolly birds in these parts? I wouldn't care if they cast someone overweight and less good looking as long as they can act the part.So for that reason I've knocked a couple of stars off. Sure it is yet another buddy cop show as some of the negative reviewers have stated. However what can you do new these days? So the elements that make any show a success or failure rest on the characters and the actors who play them, Tom Ellis is simply wonderful and I am so glad he used an English accent (Despite being Welsh)instead of a cod American one. ","8"
"Lucifer",2017-09-16," I stumbled across Lucifer by accident, but was hooked immediately. It's one of those shows that you can keep binge-watching and never get tired. The plot is interesting and each episode builds up nicely to a storyline to keep you coming back for more. Can't wait for Season 3. My wife also got hooked after I recommended watching it. ","10"
"Lucifer",2017-09-07," I hated the first season because the story was disjointed and the humor was borderline. But season two improved, and this series is worth getting more seasons if the comedy writing holds up. I gave it a generous 8, but I can understand why some people hate this series and I don't have contempt for their viewpoint. When viewer comments were allowed on IMDb, a lot of arguing took place about this series, but it deserves to be seen and the fans deserve more episodes. But it is an acquired taste. ","8"
"Lucifer",2017-09-03," 8,3/10? Really? Are people really this easily pleased? That is...disappointing. Because what we have with  Lucifer  is a below average police procedural with a cheap gimmick. Nothing unusual there, that's usually how those kind of TV-shows work. But most of those are called out on it. For some reason, this one is being outrageously praised for its shortcomings.The titular character of  Lucifer Morningstar  (as he outright tells just about everyone he meets, with all the class and mystique of a Las Vegas street performer who's off his meds) is how the devil would be, as imagined by the least imaginative person on earth. He's predictable, vulgar and cheesy with essentially no REAL self-awareness. Oh, the show pretends that they're hamming it up in a fun, ironic way. But it's pretty obvious they're just churning out another barely mediocre procedural with as little effort as possible.The sad thing is, I would probably have enjoyed the concept if it has been executed with some actual talent and genuine panache. They could have played with the idea of the devil walking the street of L.A., solving crimes and it would have been a fun little diversion. But unfortunately, they forgot to bring the subtlety and quality writing. So instead we're left with this shrine to the lowest common denominator. ","3"
"Lucifer",2017-09-01," I have barely seen better written shows than this one. The dialogues and scripting is superb. The story about heaven and hell, god, the devil and other angels is rich, interesting and there is so much content, that still hasn't really seen a good movie or TV show adaption. This show does an excellent job in delivering interesting approaches to the main questions people ask themselves, when they are thinking about life. Is there a heaven, or hell. What is the devil and how is he like. How does god and the earth, angels and demons and all this stuff connect and work? The bible doesn't really give answers to supernatural beings and the story before creation of earth..Choosing LA (the city of sins) as the main location makes perfect sense. As well as showing the devil making trouble on earth. Amenadiel, Uriel, Mazekeen and Azrael are interesting variations of the classic angels Raphael, Gabriel and Michael. I don't know whether this happened out of respect, or out of creativity, but it works very well. The situations and dialogues happening because of the confrontation of human beings and supernatural ones are hilarious and interesting to watch. This show offers so many likable and interesting characters it is a pleasure to watch. ","9"
"Lucifer",2017-07-25," shoots in Vancouver. it would be so easy to move it to L.A. and actually shoot in the city it's set in. can't watch it for that reason alone. evidently they intended to shoot there but only for the money are they shooting out of country. return it to Los Angeles, and might be worth watching. ","4"
"Lucifer",2017-07-16," Based on characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg, this series follows Lucifer, the original fallen angel, who has become dissatisfied with his life in hell. After abandoning his throne and retiring to Los Angeles, Lucifer indulges in his favorite things (women, wine and song) -- until a murder takes place outside of his upscale nightclub. For the first time in billions of years, the murder awakens something unfamiliar in Lucifier's soul that is eerily similar to compassion and sympathy. Lucifer is faced with another surprise when he meets an intriguing homicide detective named Chloe, who appears to possess an inherent goodness -- unlike the worst of humanity, to which he is accustomed. Suddenly, Lucifer starts to wonder if there is hope for his soul. ","10"
"Lucifer",2017-07-13," Their are sooo many reasons why this new TV show should not work.For starters, the religious aspects of it. Then you have the done- so-many-times-before teaming up with the police factor. Then you have the typical sexist issues relevant in this show. And so on, and so on. BUT, it did work, and very well so!From the first episode, I had my doubts, but you couldn't help enjoying each character, especially Tom Ellis playing the role of the devil. Combining all of these characters, considering their respective religious earthly roles, then adding the factor of solving crimes, was actually very entertaining.Setting this show in Los Angeles and its associated lifestyle/nightlife was a huge plus.As the show progressed, I was curious to see what more can happen. Well, a lot did, and it was all executed perfectly.Props to the writers and director for finally taking many clichés, and bundling them up, mixing them around and creating a hit TV show!I hope this show keeps renewing its seasons, and look forward to see what happens next!It's a 9/10 from me! ","9"
