"Show","Date","Review","Rating"
"Supergirl",2017-11-10," I'm a little surprised this show does not have a higher rating. I've been watching this show before it moved to the cw and our family tries to never miss it. Although this season they changed time slots and that's NOT working for me. Anyway, Melissa Benoit is adorable as her dorky alter ego and kick ass in her hero form.I wish Callista Flockhart would have stuck around longer but at least we had her for a little while. The actress who plays Lena Luthor is great!!! I also like supergirls sister Alex who works for the government and is initially her only confidante.I'm glad the cw has added this show to its lineup, its a much better fit. I love the crossover shows with the Flash which are great fun and will hopefully continue. If you are on the fence, take the leap and watch! Great superhero fun! ","8"
"Supergirl",2017-11-07," I am done with the show #Supergirl. We are now at the beginning of the third season and Supergirl has taken the Road of  Bones , after the 5th season, getting more and more stupid with each episode. I am fed up with the SJW crap, all the feminist bullshit for millennials and other propaganda they keep shoving up the viewer's throat. Relationships are USELESS, badly written, with no impact on the characters just to please some social / minority agenda (Mon-El is antipathic, Maggie serves no purpose, but for a LGBTXYZ quota on the show). Dialogues are badly written, nearly all males depicted act as if they are castrated. Just because the audience also includes kids, does not mean that actors should talk like retarded teletubbies, just look at Joss Whedon's Buffy and Angel. Supergirl seems to think that people keep attacking her because of her lady parts. Superpowers are rarely / badly used (WTF!): Supergirl getting her butt kicked by humans with some gadget<U+0085> where is the superspeed, where are the superreflexes? Writers do not seem to have read any Superhero comics, and do not understand their appeal. Every time Clark Kent / Superman is mentioned, he is put into a bad light (?!!) However, if you forget the subtext that  Women are better than men , then they won't forget reminding you at every turn. Actors are good, completely out of sync with the real comics, writers suck as Black Holes suck matter. I was already watching the last 10 or so episodes with the mouse more pressed on fast forward than on play. Everything mentioned here is the tip of the iceberg, I won't even talk about the rest. Mellissa Benoist being really cute is not enough a reason to keep watching the show. Were there good episodes? There were some really GREAT ones, especially the crossovers with Flash and the Arrowverse, and these are the only ones I will keep watching.Could they get any worse? When a Villain shouts  SUPERGIRL! , Supergirl could ask  DID YOU JUST ASSUME MY GENDER?  ","1"
"Supergirl",2017-11-05," I really like this show and believe that it has great potential to go the distance at least to 10 seasons; However, the current story-line for the past two seasons has been to promote LGBT awareness and acceptance to create a genre that bridges all generations on the subject matter. The problem here is that it's being dished out in spades without the consideration of balance and at times taking away focus from the actual story-line of Supergirl. Imagine if every show of Supergirl included a priest citing passages from the Bible and building a story-line that suggests you should go to church every Sunday! Would you accept that has okay and normal? So yes being Gay is your right so is going to church on Sunday, therefore, Please! Could the producers and writers find a balance that exercises a story-line that doesn't seem dogmatic or overbearing also at the cost of ratings, but rather one that sticks to the excitement we all experienced from season one that of Supergirl!! ","5"
"Supergirl",2017-11-04," *** This review may contain minor spoilers ***Hey there, I usually don't write reviews but for this show I just had to do it.Now that being said lets get right into it...First off...the show just looks cheap and that is not due to some low budget issues, no it is due to the poor script acting and the awkward changes to some of the key characters from the comics...now the positive thing is that they kept the names right, but that is about it. From there it is just getting from bad to worse like the very distinctive Feminist propaganda and agenda, the racist move to replace the appearance of a fan's beloved teen geeky character like J.Olsen with an old black man... Just awful...not to mention all the explicit gayness side of the show. Not that I really care much if someone decides to go against the nature and unlike any other representative of the roughly ~8.7 Million species that are out there that happens to fancy an individual of the same sex as his own, but I'd rather avoid seeing it on TV...and even if this is 21st century 2017 I still can't understand how people could say that being gay is normal...it is more acceptable and not so shocking as it was in the past but it most certainly is not normal. I can't sit in front of the TV with my little daughter and let her watch that trash, as I would definitely am going to be asked questions that I am not really sure how to answer...It is getting out of control with these gay relationships invading my favorite TV shows...and before you say  Oh, look another homophobic guy ...no that is not what I mean...do what you like and with whoever you like, but something that is not natural should not be tolerated in the sense that if it exists it is normal and must be displayed like that...also before you use words like discrimination... well I don't find it discriminating if you don't like to accept a gay relationship or call it normal simply because it isn't it is against the nature thus unnatural...it would be discrimination if I say  I don't want to see people with different skin color than white in films  because that is something natural and normal...So that is it to summarize the show: It is about a girl, you will not forget that; women are as strong as men, if not stronger; lets give this show a modern look change beloved comic characters' personality, appearance, skin color; lets throw some heavy gay drama aspect as wellIt is really hard to enjoy the show so you would be definitely better off and find something else that is worth watching! ","1"
"Supergirl",2017-11-02," It was an okay TV show, but season 3 is such vile ideological, brainless propaganda it deserves to be canceled yesterday.I love superheroes and it saddens me that Supergirl is hijacked by the leftist ideologues. Kids need someone to look up to teach them good values and proper behavior like courage, truth and selflessness. They don't need to brainwashed into group think and identity politics, scared to even question that and think that silencing anyone they disagree with for whatever reason is acceptable in a democracy.I wish producers and writers publicly apologize. Fat chance of that happening, but you can not watch the show. Which is what I'd recommend and what I'm doing. Vote with your wallet and your attention. You do have a voice and a choice. ","5"
"Supergirl",2017-11-02," Disregard the hateful sexist racist homophobic republican reviews !! It seems these blowhards are just blowing hot air because of their hate and intolerance. This is the greatest show ever !! Great writing and characterizations !! The show perfectly balances action humor romance and pathos. ","10"
"Supergirl",2017-10-31," The writing for this show just continues to go downhill into Season 3. It's like the writers don't even know what they've written already. For example having Maggie's father commenting about how they want to build a wall. Just stop with the constant Donald Trump jabs already. I'm as liberal and progressive as they come, but even I find the constant political garbs off putting and unnecessary. It's sort of like in the debacle that was Season 2 where they had Kara tell Mon El that maybe being Supergirl and being with him was enough when in Season 1 she told J'Onn that being Kara Danvers and having her job at CatCo was just as important to her as her Supergirl duties when he offered her to work full time at the DEO. Do these writers have existing story line amnesia or something?What I'm really irritated with is the show's handling of Sanvers. These writers and show runners knew from the start how invested the LGBTQ community would get in Sanvers, especially after giving Alex such an honest coming out story. But unfortunately, they completely botched Sanvers with a rushed, barely fleshed out story line with minimal screen time...then gave them an unrealistic engagement at the end of Season 2. Now in Season 3 we have to believe that they are going to break up over Alex suddenly deciding becoming a mother is more important that being with Maggie? Really? It's OOC writing and and insult to the healthy LGBTQ relationship they were trying to portray to us. Look, I understand the show shouldn't be relationship drama heavy, and I agree. But these writers are the ones who keep insisting it be shoved in everywhere...and they can't even write a decent relationship to save their lives!I'm officially ditching Supergirl. I'm not here to watch them tear apart one of the few positive LGBTQ relationships that are out there right now. And I'm definitely not here to watch Kara be all moody after Mon El's exit only to have the childish dude bro return in a few episodes anyway. It's gross. Supergirl is gross...a gross train-wreck. ","1"
"Supergirl",2017-10-30," Ugh...where to begin? I liked Season 1 of Supergirl. Given its cheesy moments at times, Kara was an empowering character as she was coming into her own as a superhero. And Alex..Alex was actually my favorite female character. What was great about Season 1, for me, was that there were so many amazing, strong female characters, which is rare for television these days. Then Season 2 came around. I don't even want to get into how awful that season was with Kara taking a back seat to Mon El's story while having to watch her eventually hook up with him and become a side character in her own show. Plenty of other reviews have voiced their disdain for that disrespectful frat boy better than I ever could. I did love the addition of Lena Luthor and Alex's coming out story line. Fast forward to what we've endured so far in Season 3...Mon El is still somehow mentioned in every episode even though he's gone. Tech genius and all around bad ass Lena Luthor has given up LCorp so she can run CatCo...a company she knows nothing about and let's be honest...is a step down from being a female CEO at a tech company...an industry consisting mostly of men. Maggie is still only  Alex's girlfriend  and now Alex is suddenly obsessed with having children, (And has been grossly OOC this season) which is going to be the demise of Sanvers...one of the few healthy, positive w/w relationships on screen right now. Not to mention the writers can't even remember their own story lines and are making it up as they go along so they can get in as many jabs at Trump as they possibly can. (They're building a wall?) Really, because last time I checked, in the Supergirl world, Trump wasn't president. The only thing worth sticking around for at this point is the Sam/Reign story line. But I don't think it's worth enduring the rest of the dumpster fire writing that is continuing to plague this show. Sorry to say, I'm done with Supergirl. Which is sad, because I love the SG comics. And I was hoping we'd finally get great representation in a female superhero. Well, I was wrong. Guess I'm going to have to look elsewhere. ","1"
"Supergirl",2017-10-30," I think Supergirl needs to change the style up if they want to continue: make Supergirl more of a badass and more confident, and less emphasis on the romance stuff; that is how a superhero should be. Instead of just propagating only feminism content, it should be able to inspire EVERY young person, that they can be super themselves. I won't say much about the lesbian content, but it shouldn't be the main point of the show. I like how Supergirl sometimes partners up with Superman and other superheroes as partners in crime, keep those going. ","5"
"Supergirl",2017-10-30," I started out really liking this show but am really tired of the lesbian love story. I do not want to see it and do not think it is good to be forcing this agenda on children or anyone else for that matter. I will probably quit watching because of this and I'm sad that so many shows are doing this same thing. ","3"
"Supergirl",2017-10-30," I was never impressed by this show from day one. The acting was forced and never seemed to show that anyone was doing anything except acting. The story line was not half bad however and there have been so many new shows over the last several years where the acting was  forced  and improved immensely that I decided to see what happened. Season one was OK. In season two I started to say  Uh oh  and in season three this show has gone full-on politically correct leaning heavily left so that the last episode I watched LITERALLY had a screaming rant about a country that wants to kill immigrants just because they aren't here legally. In that episode alone I was subjected to over half the show being a demonstration on the left's agenda with only part of the show being about superheroes. I'm out. This show has become a progressive medium to push their agenda and it is not even done very well. That's not why I watch TV. ","1"
