"Show","Date","Review","Rating"
"The Flash",2017-06-28," I can understand wanting to tinker with things to make a story work, but it is not the kind of thing that us comic fans really appreciate. I grew up on the Batman and Superman animated series' and went from there to Justice League and then started on some of the comics. And when you start overhauling characters in a way that might be taken as politically motivated, people get grouchy. The changes to Wonder Woman and Miss Marvel are exemplary of this.But, I digress. I think rehashing the Barry Allen flash was a mistake in the first place, especially using old cast members from the first show to give it validation in the eyes of old fans. The only good thing that came out of the 90s flash was Mark Hamill started voicing the Joker soon after. Wally West was the comical flash that a lot of us grew up with and if you want to give us something new, give us a live action Jay Garrick main character, or maybe Bart Allen, arguably one of the best speedsters. Don't re- modulate and alter an existing work that has been done in live action already out of laziness.P.S. The OCD among us nerds also tend to not like changes to minor characters near our favorite hero, as their interactions shape the hero. ","4"
"The Flash",2017-06-28," I enjoyed Flash the first 3 seasons.However I am hoping few changes that seems to be repetitive and kind of annoying in all episodes. First, Iris has to shut her mouth or die rather than telling some dialogues like 'You can do it Barry' or 'I am sorry Barry' every episode. Whenever something bad is happening to the world or some super villains killing people, flash, Joe west or iris do not seem to care about the people at all. These three keep telling to each other,' I just want you to be safe..blah blah' seems to be repetitive. They should show some genuine concern to the people.Other than this, Flash is definitely enjoyable.. ","8"
"The Flash",2017-06-26," Boring and incredibly illogical. Outstanding acting from some, clashes so hard with dull and badly acted scenes from others. Unappealing characters, a constant nerdy feel and cringy sense of humor makes this series and absolute waste of time for me. Unpopular opinion, but here it is. ","3"
"The Flash",2017-06-26," i mean yes there are more TV shows such as: Arrow,Supergirl etc. But this one is simply the best.It has all the drama all the excitement and i loved every single moment of it.And the finales of all the seasons are amazing.The best finale was season 3.I was ready to see Iris die and i wasn't very sad.But to see H.R. take her place was very sad for me because he was such a fun character no matter how many times he did the wrong thing.And his love for coffee was as big as his love for a very special girl.Season 1 was a great starting point and kicked off amazingly.It was a great unexpected season from beginning to end. Season 2 was very fun but how many times Flash doubted himself was a bit annoying.Season 3 was the best turnaround.The season started badly because they kept milking the fact he can time travel.And how many times he was told not to travel trough time,then he knows he shouldn't but still does,is beyond enough.And so i said to myself this season wont be good.And i was very disappointed with what the writers did.But the final 2 episodes saved the season,no matter how bad episodes 1- 21 were.It was all saved by episode #22 and #23.The big turnover with H.R. taking Iris' place was amazing and very well done,i didn't even see it coming and then with flash going to the speed force and Iris losing her husband was a great scene and to top of a very emotional series. ","10"
"The Flash",2017-06-24," THIS REVIEW CONTAINS SPOILERSIn season 1 I didn't have a show I really like but then Tge Flash came along and instantly captivated me with the characters and story line. The plot twists were fantastic and the writing was on point. Overall that season is 10/10.Unfortunately, Season 2 couldn't keep it that way, it became confusing at points. A prime example of this was the episode  The Reverse Flash Returns  in which they attempted to explain what the heck a time remnant was, something I still have trouble getting my head around, it is also now used for plot convenience. Zoom was a decent villain up until he was unmasked which made him less frightening, plus his backstory sucked, he didn't really have a reason to be a villain. The acting was still good though thankfully, although another downside was Wally he was extremely annoying for many of his episodes. Overall an 8/10.This trend of declining quality continues in season 3, with a highly disappointing Flashpoint episode. The first half of the season was incredibly boring, the writers pretty much took the characters and made them opposite of who they are. Cisco was depressed and hated Barry for the first half making it really stink. Not to mention Barry was depressed and angsty the entire season. One positive was Killer Frost but even that had issues because why the heck does she have to be evil? Many things were left unexplained. This season also has ANOTHER speedster villain in Savitar the self proclaimed god of speed. He pretty much looked like the live child of Sauron and Megatron. Then the writers decided to wait until the final four episodes to reveal Savitar's identity, and at that point nobody cared. Now some major spoilers begin. The reveal that Barry's time remnant was Savitar was so stupid to be honest, after he was revealed he was seen for five minutes outside of the suit towards the beginning of the following episode. And didn't show up for a bit later. Not to mention HR, the newest Wells, he was extremely annoying and over the top. Then there was WestAllen, something I felt bogged the season down a bit. Tracy Brand now has really no purpose in the show now too so why did they really need to bring her on? Tom Felton though was the best thing in this season, he was great until his character became Caitlin's new love interest. I could go on but overall I give the season a 7/10, the musical episode saved the season from a 6/10.The show is by all means entertaining but it has a problem that they always try to top the previous season, thus bogging down the entire season. The show is overall an 8/10 ","8"
"The Flash",2017-06-22," If you wanted to see a version of flash with an always whining yammering, obtuse flash, an irritating Iris, tons of cringe inducing, awful acting, heaps of inconsistent plot lines, and a bunch of unlikable main characters (except for Cisco) then this is the show for you. ","2"
"The Flash",2017-06-21," I watch this show only because it is nice change to see Candice Patton in role of Iris. I think her acting is good,her face expression and voice are really relaxing change on TV shows and I believe she only needs a little bit of improvement when her character survives tragic events. That can make her a top actress of all time. Candice is only positive what I can say about this.Negatives: first- Flash should need more superpowers if his costume has holes like this. Else he IS dead, and all we see is his last flashes in his head before he died... He needs Superman skin and tissue to survive,or covered face to survive his own speed... Second- when Eddie died-that should be end not only of Reversed Flash- that should be same end like in the end of season 2-his mother was never killed, he always lived with them. Yeah, they tried to invent  fixed  points but be born ,or not, is fixed point...BTW I find time travel theories made up,like this story, because there are always some out of context explanation,but that is another story. Third-I find really funny how people around FLash are so slow in mind- he is too very slow. I couldn't stop laugh how many times Iris didn't find out who is Flash, also Patty had a lot of time to figure out, his  brother , his boss... Come on ,man run out before you and he came in other clothes form other side, and you are so stupid to not recognize him? Also,I can't believe how many villains get into Star-lab and how they don't have any measures to prevent attacks? Flash can't prevent anyone to shoot innocents from 3 meters range, but he can stop bullets when Joe tried to shoot  Reverse Flash  double? Guy shot him by slowest gun in history-gun making ice-and Flash didn't move? OK, I know this is show for teens, but really guys... You didn't invent his physical limits in story,only he needs to eat several times more than earlier... There is only one good written character-Joe... Come on... ","3"
"The Flash",2017-06-20," First thing off, the cast members are great <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> but the storyline? Not so great. The story is the same old just like the previous episodes just diff. People and villain. There's no suspense or thrilling in the story. It's like we already what's gonna happen. A great example is when they like to hide things from supposedly team and in the end they're like, we trust and need each other. Like? That's how the script gonna go? I mean I think I just saw it on the last season. Oh and the fact that he could've done things in the first place which he did before. But hey I'm not a writer right? I'm just one of the million people watching it, I think that's why I stopped watching it. Same reason why I watching Arrow. The storyline and script needs to get better or the show might not last long as it wanted to be. Bec. I noticed it how many people you would think would noticed it too and get bored with it? Ps. The rating is for the show storyline and script. Not the cast members. ","2"
"The Flash",2017-06-12," awful, after catching other meta humans Flash preaches them good and they won't listen to him, this happens every time, completely bored by the repetition, he neither completely eliminates them nor cure them , completely lost the plot and Caitlin has one expression, i couldn't really understand whether she is laughing or crying. Barry Allen even he is terrible actor and utter nuisance when he does few things, worries for non-sense.Horrible, right from start of season2 ","1"
"The Flash",2017-06-04," I just love this show. It's amazing sci-fi, I love the action in this show, I love IRIS :D , I love everything. I really recommend this. Although some episodes are just plain nonsense, because nothing happens in them, rest of them are perfect. I also like that Flash is part of The Arrowverse, so there are crossovers with Arrow, Supergirl, Legends of tomorrow. I'm not sure about season 4 after seeing ending of season 3. I just hope they will not ruin the show. ","9"
